numero_simulacion,conductividad_Sm,cumple_agua
1,0.35677853825280814,True
2,0.19803392470720382,True
3,0.39452213452517315,True
4,0.6133574641020063,True
5,0.174061656319166,True
6,0.17406576076270486,True
7,0.6274032038768479,True
8,0.4244586822882272,True
9,0.11523140351626197,True
10,0.36824001089649117,True
11,0.11674557679688444,True
12,0.11616756160743578,True
13,0.29309056789150856,True
14,-0.24572006116444947,False
15,-0.1986294581282582,False
16,0.09202811768975683,True
17,-0.020607780083605948,False
18,0.31116183314881846,True
19,0.005593981119697278,False
20,-0.12047592533382287,False
21,0.5990121922303885,True
22,0.1761559248783661,True
23,0.24948205117198097,True
24,-0.1235870465533642,False
25,0.09650431886870434,True
26,0.26033064742746653,True
27,-0.0551483943555757,False
28,0.326524504586418,True
29,0.08244032752029876,True
30,0.1596765625516808,True
31,0.08217334694265077,True
32,0.6956695461272344,True
33,0.22922569381551652,True
34,-0.03182773223897509,False
35,0.43823622802579726,True
36,-0.07261091249275556,False
37,0.28481589875118885,True
38,-0.2573175309699439,False
39,-0.09944651222460762,False
40,0.2818153089672809,True
41,0.4172166449988526,True
42,0.2754420702974926,True
43,0.20368792940293987,True
44,0.1573240761026778,True
45,-0.13703049759185684,False
46,0.05263894790132284,True
47,0.11744030726005313,True
48,0.49688055655472896,True
49,0.3185045723921154,True
50,-0.2081600388406835,False
51,0.3136209923486988,True
52,0.13632942989592087,True
53,0.06336949992351032,True
54,0.385519072210217,True
55,0.49034988062398777,True
56,0.4654200297790496,True
57,0.022795619194340366,True
58,0.15529690603719637,True
59,0.315415857850891,True
60,0.4764862817805898,True
61,0.11280644053867751,True
62,0.18618525583404572,True
63,-0.04398374350150705,False
64,-0.0664516560201677,False
65,0.43573145559854953,True
66,0.5716600071427057,True
67,0.21459746960491655,True
68,0.48348322447300607,True
69,0.32300900626190854,True
70,0.07132006134871893,True
71,0.32294890137710347,True
72,0.6171091416164923,True
73,0.22364349022251212,True
74,0.6237609139535015,True
75,-0.42233627602243606,False
76,0.43807562609380596,True
77,0.25436176705954283,True
78,0.15784816238353314,True
79,0.2555401941338756,True
80,-0.26429222865022317,False
81,0.17768202804062203,True
82,0.3218781428779366,True
83,0.602073511185379,True
84,0.10303244543158815,True
85,0.030476599276703098,True
86,0.10716073910386587,True
87,0.46145052942551856,True
88,0.31478777741492114,True
89,0.1001599490582403,True
90,0.360916858278339,True
91,0.2568693873370101,True
92,0.4747612476332223,True
93,0.05708672653066191,True
94,0.15068446335055796,True
95,0.1345729617169606,True
96,-0.13327873703302964,False
97,0.306630069266144,True
98,0.2978638180449723,True
99,0.23387836416061522,True
100,0.17395321665621327,True
101,-0.12124268551260356,False
102,0.12743866930866024,True
103,0.14692137086830764,True
104,0.032030682694595275,True
105,0.19227857208349772,True
106,0.3336127142036346,True
107,0.7041464753026325,True
108,0.27624445320795976,True
109,0.2969875976806911,True
110,0.2139885210584582,True
111,-0.24709280382476037,False
112,0.22597153113769577,True
113,0.24765755248525662,True
114,0.8484105281213216,True
115,0.18450975880471937,True
116,0.3079868355834031,True
117,0.22392205757368916,True
118,-0.05956950940488301,False
119,0.5183057036287552,True
120,0.4205832581716935,True
121,0.43035798676076176,True
122,0.00525313630131527,False
123,0.5832985777340248,True
124,-0.11786276569807022,False
125,0.3793142734500676,True
126,0.7802139064524947,True
127,-0.015034081282672085,False
128,0.09102556759930702,True
129,0.2575128412719103,True
130,0.1067310864709502,True
131,-0.15506585776653317,False
132,0.24974074370150684,True
133,-0.03297592843152622,False
134,0.3509981076587954,True
135,0.0027439414415492136,False
136,0.6200836012543849,True
137,0.03678667691594073,True
138,0.1520846209485811,True
139,0.43597930434241744,True
140,-0.0751160791084888,False
141,0.28946498365103235,True
142,0.559385688570607,True
143,-0.16927080864030689,False
144,0.2787584646330761,True
145,0.2975706985621059,True
146,0.4280557179443276,True
147,-0.07663767771952049,False
148,-0.09751415327106908,False
149,0.3630853914042244,True
150,0.30684616830829653,True
151,0.2952232125864691,True
152,0.31921205237424394,True
153,0.0625938196053773,True
154,0.2906634242902509,True
155,0.3058681183246703,True
156,0.05401214549340805,True
157,0.6990436277861891,True
158,0.3510582302279469,True
159,-0.06522587430066215,False
160,0.39673840215845746,True
161,-0.011070417556830359,False
162,0.429371150935613,True
163,0.522248894751851,True
164,0.027429420412072386,True
165,0.47344403231108045,True
166,0.33579523173412457,True
167,0.4381150399986225,True
168,0.7067982456634868,True
169,0.17125297099928238,True
170,0.044165958910627606,True
171,0.010221392593619177,True
172,0.02864742875864043,True
173,0.21332457264647395,True
174,0.317887993704161,True
175,0.30177269983250476,True
176,0.4393958122590059,True
177,0.23585047296947675,True
178,0.5959835192893292,True
179,0.16643579169051098,True
180,0.9126422916474047,True
181,0.38901683694125155,True
182,0.018310610895929363,True
183,-0.035123124515278076,False
184,0.3532181038107963,True
185,0.17673430366853726,True
186,0.411100123523023,True
187,0.3509094061433862,True
188,0.21439277183578181,True
189,0.020901570482898757,True
190,-0.14611180617146616,False
191,0.12097126198324473,True
192,0.4466996985808681,True
193,0.28612343603255097,True
194,-0.078834694677997,False
195,0.2758952314627955,True
196,0.3289293449322092,True
197,0.011635640949716752,True
198,0.271031276486382,True
199,0.2471521796115,True
200,-0.05314257445765577,False
201,0.32204684008707085,True
202,0.3727961315920586,True
203,0.5033628107938193,True
204,0.4960505130087257,True
205,-0.11181734198927276,False
206,-0.0018562599787806944,False
207,0.361358816802165,True
208,0.3610464877280522,True
209,0.361361921576512,True
210,1.1957828726636803,True
211,0.3753226276732917,True
212,0.5164914100451498,True
213,0.4711004408733006,True
